"cz_cec_doe","category","city_ind","num_floors","load_source","month","P_avg_per_floor_sqft","P_avg_per_roof_sqft","P_min","P_max","P_sd","Irr_annual_avg","CDD_annual_tot","Irr","CDD","num_days","kw_from_solar_mo","in_over_out_mo","P_unmet_per_roof_sqft","P_unmet_percent","rank"
"13_3B","Pri",1,1.3,"interp_cz",11,0.00164289065972222,0.00213575785763889,0.000743416,0.00322506,0.000950617437557175,5906.66666666667,3985,4540,57,30,0.00131806315554771,0.617140726339103,-0.000817694702091178,-0.382859273660897,3
"13_3B","Pri",1,1.3,"interp_cz",2,0.00157473068303571,0.00204714988794643,0.000742882,0.003067661,0.000896359546017667,5906.66666666667,3985,4420,20,28,0.00128322448183279,0.626834649181474,-0.000763925406113635,-0.373165350818526,4
"13_3B","Pri",1,1.3,"interp_cz",9,0.00209510612083333,0.00272363795708333,0.000746816,0.005047376,0.00146608850994094,5906.66666666667,3985,7190,607,30,0.00208741720008547,0.766407735894835,-0.000636220756997862,-0.233592264105165,6
"13_3B","Pri",1,1.3,"interp_cz",10,0.00181519499462366,0.00235975349301075,0.000744641,0.004108548,0.00116399800188072,5906.66666666667,3985,6230,327,31,0.00180870781036613,0.766481675193304,-0.000551045682644621,-0.233518324806696,7
"13_3B","Pri",1,1.3,"interp_cz",5,0.00200547557258065,0.00260711824435484,0.000745326,0.004798003,0.00133184974780199,5906.66666666667,3985,7140,432,31,0.00207290108603759,0.795092854160342,-0.000534217158317251,-0.204907145839658,8
"13_3B","Pri",1,1.3,"interp_cz",3,0.00170344496236559,0.00221447845107527,0.000743294,0.003398296,0.000977299123898609,5906.66666666667,3985,6100,78,31,0.00177096591384164,0.799721448172919,-0.000443512537233632,-0.200278551827081,9
"13_3B","Pri",1,1.3,"interp_cz",4,0.00172822443055556,0.00224669175972222,0.000743866,0.003840496,0.00110035574858346,5906.66666666667,3985,6670,204,30,0.0019364496139875,0.861911566465582,-0.000310242145734727,-0.138088433534418,10
"13_3B","Pri",1,1.3,"interp_cz",7,0.00170643377284946,0.0022183639047043,0.000650234,0.004248382,0.00100486127964454,5906.66666666667,3985,7340,837,31,0.00213096554222912,0.960602332967172,-8.73983624751834e-05,-0.0393976670328276,11
"13_3B","Pri",1,1.3,"interp_cz",8,0.00168904547715054,0.0021957591202957,0.000650408,0.00416944,0.00094210034503873,5906.66666666667,3985,7400,782,31,0.00214838487908658,0.978424663811601,-4.73742412091228e-05,-0.0215753361883989,12
"14_3B","Pri",0,1,"interp_cz",6,0.002541716,0.002541716,0.000747089,0.005791319,0.00176186097723101,6905.83333333333,4225,7470,691,30,0.00216870743875361,0.853245381763191,-0.000373008561246389,-0.146754618236809,1
"14_3B","Pri",0,1,"interp_cz",9,0.00211194157361111,0.00211194157361111,0.000746922,0.005099344,0.00148323732535374,6905.83333333333,4225,7500,624,30,0.00217741710718234,1.03100253074676,6.54755335712295e-05,0.0310025307467554,2
