category,cz_cec_doe,city_ind,utility,Freq,roof_sqft.x,OID,latitude,longitude,roof_sqft.y,floor_sqft,diff,month,n,min_io,min_irr,max_p,max_punmet,num_floors,in_over_out_mo,clp_index,clp_name,clp_multiplier,critical_load_pct,dur_index,dur_name,dur_duration,roof_sqft
CC,15_3B,0,Southern California Edison,0.99,118774.7684,140,33.72248244,-116.3242372,43350.07312,118800,75424.69531,3,1,NA,NA,NA,8.57E-05,1,1.04428596,5,high,1.333333333,1.392381279,1,2 day,48,118800
Coll,3_3C,1,Pacific Gas & Electric Company,0.01,720.185473,2364,37.86951999,-122.2535055,948.8358731,700,228.6504001,6,1,NA,NA,0.001381485,NA,1,1.237797371,5,high,1.333333333,1.650396495,1,2 day,48,700
W,13_3B,1,Pacific Gas & Electric Company,1,474347.0522,6883,36.84142243,-119.7532965,107663.4781,474300,366683.5741,1,2,1.386016433,3260,NA,NA,1,1.386016433,5,high,1.333333333,1.848021911,1,2 day,48,474300
Pri,3_3C,0,Pacific Gas & Electric Company,0.1,12924.50181,16975,37.70637463,-122.4502807,13392.38374,12900,467.8819251,7,1,NA,NA,NA,0.000497584,1,1.456297992,4,high_medium,1,1.456297992,3,8 day,192,12900
CC,16_6B,0,Pacific Gas & Electric Company,0.75,21253.63252,5701,38.80995807,-119.7806727,18322.26193,21300,2931.370586,10,1,NA,NA,NA,0.000507048,1,1.368188202,4,high_medium,1,1.368188202,2,4 day,96,21300
CC,10_3B,1,San Diego Gas & Electric,0.25,6010.724309,16411,33.00546496,-117.0863108,5095.876072,7200,914.8482371,12,1,NA,4890,NA,NA,1.2,0.821098294,2,low_medium,0.666666667,0.547398863,2,4 day,96,6000
Pri,8_3B,0,Southern California Edison,0.5,52939.76874,1411,33.77762378,-117.9761209,52674.68405,52900,265.0846839,7,1,NA,NA,NA,0.000492326,1,1.322136087,1,low,0.5,0.661068043,3,8 day,192,52900
Pri,8_3B,1,Southern California Edison,0.75,67085.79308,16846,33.87931969,-118.3201425,66999.03436,87200,86.75872368,7,1,NA,NA,NA,3.38E-05,1.3,1.017027759,2,low_medium,0.666666667,0.678018506,3,8 day,192,67100
CC,6_3C,0,Southern California Edison,0.25,6010.724309,421,34.43251248,-119.8387148,4913.625555,6000,1097.098754,8,1,NA,NA,0.002152365,NA,1,0.929359232,2,low_medium,0.666666667,0.619572821,2,4 day,96,6000
Sec,16_6B,0,Southern California Edison,0,697.194976,7518,37.64066389,-118.9627512,1030.299193,800,333.1042173,10,1,NA,NA,NA,0.0003921,1.2,1.262785192,3,medium,0.8,1.010228154,3,8 day,192,700
Sec,10_3B,1,Southern California Edison,0.9,259158.6438,8790,34.17665812,-117.3094781,247093.4076,362800,12065.23621,6,2,0.661186067,NA,0.002151556,NA,1.4,0.661186067,3,medium,0.8,0.528948853,3,8 day,192,259200
Sec,14_3B,0,Southern California Edison,0.75,196445.8043,6729,35.77129956,-117.3705316,215216.8936,235700,18771.08932,3,1,NA,NA,NA,0.000416551,1.2,1.246306604,5,high,1.333333333,1.661742138,3,8 day,192,196400
W,12_3C,1,Pacific Gas & Electric Company,0.99,63974.19884,1976,37.66732643,-121.8778629,34315.96127,64000,29658.23756,12,2,1.569024736,3690,NA,NA,1,1.569024736,4,high_medium,1,1.569024736,1,2 day,48,64000
CC,8_3B,1,Los Angeles Department of Water & Power,0.25,6010.724309,7358,34.0330433,-118.417533,8367.097635,7200,2356.373326,12,1,NA,4670,NA,NA,1.2,0.718453763,2,low_medium,0.666666667,0.478969175,3,8 day,192,6000
Coll,10_3B,0,San Diego Gas & Electric,0.9,457404.7752,893,32.74493009,-116.9424137,345357.3923,457400,112047.3829,6,2,0.925660493,NA,0.002151556,NA,1,0.925660493,1,low,0.5,0.462830247,1,2 day,48,457400
CC,5_3C,1,Pacific Gas & Electric Company,0.1,3198.771136,1779,35.32121366,-120.7078849,2981.98241,3800,216.7887263,12,2,0.833999098,4770,NA,NA,1.2,0.833999098,5,high,1.333333333,1.111998798,1,2 day,48,3200
Pri,12_4B,0,Pacific Gas & Electric Company,0.1,12924.50181,13914,38.48071444,-121.0102039,12940.11355,12900,15.61174005,6,1,NA,NA,0.002193614,NA,1,0.955558526,4,high_medium,1,0.955558526,2,4 day,96,12900
Pri,10_3B,0,Southern California Edison,1,528907.9472,17169,33.61065068,-117.1330538,204736.5304,528900,324171.4169,8,1,NA,NA,NA,0.00048298,1,1.295677068,2,low_medium,0.666666667,0.863784712,2,4 day,96,528900
Pri,2_3C,1,Pacific Gas & Electric Company,0.9,82302.16623,5142,38.00701451,-122.554952,74270.69131,107000,8031.474921,6,1,NA,NA,0.001916221,NA,1.3,0.820472682,4,high_medium,1,0.820472682,2,4 day,96,82300
CC,12_4B,0,Pacific Gas & Electric Company,0.1,3198.771136,5672,38.30156543,-120.7056832,3324.271131,3200,125.4999949,12,1,NA,3640,NA,NA,1,0.808630047,2,low_medium,0.666666667,0.539086698,1,2 day,48,3200
W,9_3C,0,Southern California Edison,0.01,1066.972869,16060,34.27801411,-118.6982091,1846.946411,1100,779.9735415,12,1,NA,4830,NA,NA,1,1.911487574,1,low,0.5,0.955743787,1,2 day,48,1100
CC,7_3B,0,San Diego Gas & Electric,0.1,3198.771136,9537,33.22255589,-117.3794542,3060.723885,3200,138.0472515,3,1,NA,NA,NA,0.000250553,1,1.158439503,3,medium,0.8,0.926751603,2,4 day,96,3200
Sec,10_3B,1,Southern California Edison,0.75,196445.8043,16406,34.07472677,-117.1774913,188965.0059,275000,7480.798388,4,1,NA,NA,NA,-0.000137871,1.4,0.933159966,4,high_medium,1,0.933159966,2,4 day,96,196400
W,6_3B,0,Southern California Edison,0.9,25203.47763,9238,33.85903507,-118.3857133,25260.42644,25200,56.94880911,4,1,NA,NA,NA,0.001143548,1,2.406191498,3,medium,0.8,1.924953199,1,2 day,48,25200
CC,4_3C,1,Pacific Gas & Electric Company,0.25,6010.724309,6514,37.44485111,-122.145215,6134.52149,7200,123.7971811,4,1,NA,NA,NA,-1.30E-05,1.2,0.993077239,1,low,0.5,0.49653862,1,2 day,48,6000
CC,4_3C,1,Pacific Gas & Electric Company,0.01,1176.130698,12495,37.42528505,-121.9751639,1069.752823,1400,106.3778747,12,2,0.681622628,3750,NA,NA,1.2,0.681622628,5,high,1.333333333,0.908830171,2,4 day,96,1200
Pri,16_3B,0,Southern California Edison,0.25,34543.24085,1249,35.1311931,-118.4534876,32777.86571,34500,1765.375143,12,1,NA,4180,NA,NA,1,0.799178256,1,low,0.5,0.399589128,3,8 day,192,34500
Sec,12_3C,1,Pacific Gas & Electric Company,0.25,62916.35818,526,37.68619056,-121.8970566,85130.95854,88100,22214.60036,12,1,NA,3690,NA,NA,1.4,0.628418013,1,low,0.5,0.314209006,2,4 day,96,62900
CC,7_3B,1,San Diego Gas & Electric,0.99,118774.7684,600,32.8756693,-117.2152586,95856.35582,142500,22918.41262,12,1,NA,5140,NA,NA,1.2,0.828962368,3,medium,0.8,0.663169895,3,8 day,192,118800
Sec,9_3B,0,Southern California Edison,0.1,24146.00849,15304,34.1717387,-118.7647502,24556.00156,29000,409.993074,6,2,0.814809392,NA,0.001983442,NA,1.2,0.814809392,1,low,0.5,0.407404696,1,2 day,48,24100
Sec,16_3B,0,Southern California Edison,0.25,62916.35818,597,34.24304264,-116.9014122,64087.06087,75500,1170.702691,8,1,NA,NA,NA,0.000849823,1.2,1.63047207,3,medium,0.8,1.304377656,3,8 day,192,62900
CC,16_3B,0,Southern California Edison,0.01,1176.130698,1857,34.2111224,-117.0850326,1511.757072,1200,335.626374,7,1,NA,NA,0.001737303,NA,1,1.243304913,2,low_medium,0.666666667,0.828869942,2,4 day,96,1200
W,16_3B,0,San Diego Gas & Electric,0.1,2543.392154,311,33.55182924,-116.6989499,2000.78269,2500,542.6094646,9,1,NA,NA,NA,0.001365143,1,2.796201753,1,low,0.5,1.398100876,2,4 day,96,2500
W,9_3B,1,Los Angeles Department of Water & Power,0.25,4413.584968,8491,34.20304728,-118.6023792,4343.991509,4400,69.59345846,10,1,1.727401578,NA,NA,NA,1,1.727401578,2,low_medium,0.666666667,1.151601052,3,8 day,192,4400
W,8_3B,0,Southern California Edison,0.9,25203.47763,493,33.92405561,-117.9162763,25111.64201,25200,91.83562489,12,1,NA,4670,NA,NA,1,1.771467299,3,medium,0.8,1.417173839,3,8 day,192,25200
Pri,7_3B,1,San Diego Gas & Electric,0,678.8926162,13568,32.75364734,-117.1974173,1055.068919,900,376.1763028,12,1,NA,5140,NA,NA,1.3,0.693898139,5,high,1.333333333,0.925197519,1,2 day,48,700
CC,3_3C,0,Pacific Gas & Electric Company,0.25,6010.724309,5717,37.53136465,-121.9598028,5997.110026,6000,13.61428269,9,1,NA,NA,0.001625302,NA,1,0.914568283,2,low_medium,0.666666667,0.609712189,1,2 day,48,6000
W,10_3B,0,Southern California Edison,0,651.5666403,6700,33.84110432,-117.2251593,660.003679,700,8.437038684,12,1,NA,4890,NA,NA,1,1.963572097,1,low,0.5,0.981786048,1,2 day,48,700
Sec,12_3B,0,Modesto Irrigation District,0.75,196445.8043,12787,37.76466337,-121.5453053,150356.3922,235700,46089.41204,4,1,NA,NA,NA,0.000213758,1.2,1.126862995,3,medium,0.8,0.901490396,2,4 day,96,196400
Pri,6_3B,0,San Diego Gas & Electric,0.1,12924.50181,3857,33.50429971,-117.6505321,10065.96188,12900,2858.539937,7,1,NA,NA,NA,0.000522221,1,1.37542818,2,low_medium,0.666666667,0.91695212,2,4 day,96,12900
W,12_3B,1,Pacific Gas & Electric Company,0.99,63974.19884,13682,38.27706013,-122.0359283,49655.3094,64000,14318.88943,7,1,NA,NA,0.001263176,NA,1,1.691586798,1,low,0.5,0.845793399,1,2 day,48,64000
W,10_3B,1,San Diego Gas & Electric,0.99,63974.19884,15825,33.02040905,-117.1036703,64866.35774,64000,892.1589063,4,1,NA,NA,NA,0.00107352,1,2.261010924,3,medium,0.8,1.808808739,3,8 day,192,64000
Coll,12_3B,0,Sacramento Municipal Utility District,0.99,780061.4012,13669,38.6506173,-121.3474489,734585.1113,780100,45476.28987,1,2,0.725271986,3110,NA,NA,1,0.725271986,1,low,0.5,0.362635993,3,8 day,192,780100
CC,9_3B,1,Los Angeles Department of Water & Power,0.1,3198.771136,8275,34.27210472,-118.4610427,3336.369028,3800,137.5978914,8,1,NA,NA,0.002558643,NA,1.2,0.682694824,4,high_medium,1,0.682694824,3,8 day,192,3200
